NrLf,UVP_PL,CZK MOC
525906650532,2899,78299
525906610230,2699,72899
525906570225,2699,72899
525803890847,4699,126899
525803890843,4699,126899
525803890840,4699,126899
525803890647,4399,118799
525803890643,4399,118799
525803890640,4399,118799
525803850847,4699,126899
525803850843,4699,126899
525803850840,4699,126899
525803850647,4399,118799
525803850643,4399,118799
525803850640,4399,118799
525803810851,4699,126899
525803810847,4699,126899
525803810843,4699,126899
525803810651,4399,118799
525803810647,4399,118799
525803810643,4399,118799
525803780455,4399,118799
525803780451,4399,118799
525803780447,4399,118799
525803750451,3699,99899
525803750447,3699,99899
525803750445,3699,99899
525803740455,3699,99899
525803740451,3699,99899
525803740447,3699,99899
525803250455,3699,99899
525803250450,3699,99899
525803250445,3699,99899
525803090855,4599,124199
525803090850,4599,124199
525803090845,4599,124199
525803090655,4399,118799
525803090650,4399,118799
525803090645,4399,118799
525803040845,4599,124199
525803040645,4399,118799
525803000455,4399,118799
525803000450,4399,118799
525803000445,4399,118799
525802960455,4399,118799
525802960450,4399,118799
525802960445,4399,118799
525802920460,4399,118799
525802920455,4399,118799
525802920450,4399,118799
525802840455,3999,107999
525802840450,3999,107999
525802840445,3999,107999
525802760455,3399,91799
525802760450,3399,91799
525802760445,3399,91799
525802720455,3399,91799
525802720450,3399,91799
525802720445,3399,91799
525802680460,3399,91799
525802680455,3399,91799
525802680450,3399,91799
525802680445,3399,91799
525802500851,5899,159299
525801880840,4399,118799
525801880651,4199,113399
525801880647,4199,113399
525801880643,4199,113399
525801880640,4199,113399
525801850857,4399,118799
525801850851,4399,118799
525801850847,4399,118799
525801850843,4399,118799
525801850840,4399,118799
525801850657,4199,113399
525801850651,4199,113399
525801850647,4199,113399
525801850643,4199,113399
525801850640,4199,113399
525801840857,4399,118799
525801840851,4399,118799
525801840847,4399,118799
525801840843,4399,118799
525801840840,4399,118799
525801840657,4199,113399
525801840651,4199,113399
525801840647,4199,113399
525801840643,4199,113399
525801840640,4199,113399
525801730851,4399,118799
525801730847,4399,118799
525801730843,4399,118799
525801720851,4399,118799
525801720847,4399,118799
525801720843,4399,118799
525801690857,4399,118799
525801000840,4099,110699
525801000651,3899,105299
525801000647,3899,105299
525801000643,3899,105299
525801000640,3899,105299
525800860840,4599,124199
525800860838,4599,124199
525800860640,4399,118799
525800860638,4399,118799
525800850840,4599,124199
525800850838,4599,124199
525800850640,4399,118799
525800850638,4399,118799
525800840840,4599,124199
525800840838,4599,124199
525800840640,4399,118799
525800840638,4399,118799
525800670840,4099,110699
525800670836,4099,110699
525800670640,3899,105299
525800670636,3899,105299
525800660840,4099,110699
525800660836,4099,110699
525800660640,3899,105299
525800660636,3899,105299
525800650840,4099,110699
525800650836,4099,110699
525800650640,3899,105299
525800650636,3899,105299
525800640840,4099,110699
525800640836,4099,110699
525800640640,3899,105299
525504809951,1399,37799
525504809947,1399,37799
525504809945,1399,37799
525504709955,1699,45899
525504709951,1699,45899
525504709947,1699,45899
525504709945,1699,45899
525504699955,1699,45899
525504699951,1699,45899
525504699947,1699,45899
525504699945,1699,45899
525504669951,1499,40499
525504669947,1499,40499
525504669945,1499,40499
525504659951,1499,40499
525504659947,1499,40499
525504659945,1499,40499
525504639955,1499,40499
525504639951,1499,40499
525504639947,1499,40499
525504639945,1499,40499
525504629955,1499,40499
525504629951,1499,40499
525504629947,1499,40499
525504629945,1499,40499
525504579955,1199,32399
525504579951,1199,32399
525504579947,1199,32399
525504579945,1199,32399
525504569955,1199,32399
525504569951,1199,32399
525504569947,1199,32399
525500849925,1199,32399
525500789921,899.95,24299
525500739937,629.95,17099
525500729937,629.95,17099
525300839954,999.95,26999
525300839948,999.95,26999
525300839944,999.95,26999
525300759954,799.95,21599
525300759948,799.95,21599
525300759944,799.95,21599
525300749960,799.95,21599
525300749956,799.95,21599
525300749952,799.95,21599
525300749948,799.95,21599
525203409951,2799,75599
525203409947,2799,75599
525202729944,799.95,21599
525202729940,799.95,21599
525202729937,799.95,21599
525202719949,799.95,21599
525202719944,799.95,21599
525202709949,799.95,21599
525202709944,799.95,21599
525202629949,699.95,18899
525202629944,699.95,18899
525202609949,699.95,18899
525202609944,699.95,18899
525202109949,1099,29699
525202109944,1099,29699
525202109940,1099,29699
525202109937,1099,29699
525202059949,1099,29699
525201259944,1599,43199
525201259940,1599,43199
525201229960,1099,29699
525201229953,1099,29699
525201229949,1099,29699
525201229944,1099,29699
525201229940,1099,29699
525201209960,1099,29699
525201209953,1099,29699
525201209949,1099,29699
525201209944,1099,29699
525201209940,1099,29699
525201169960,899.95,24299
525201169953,899.95,24299
525201169949,899.95,24299
525201169944,899.95,24299
525201129949,799.95,21599
525201129944,799.95,21599
525201129940,799.95,21599
525201119940,799.95,21599
525201109960,799.95,21599
525201109953,799.95,21599
525201109949,799.95,21599
525201109944,799.95,21599
525200619944,699.95,18899
525200609949,699.95,18899
525200609944,699.95,18899
525200479949,599.95,16199
525200479944,599.95,16199
525200469949,599.95,16199
525200469944,599.95,16199
525200469940,599.95,16199
524909770954,7699,207899
524909770948,7699,207899
524909770944,7699,207899
524909770941,7699,207899
524909770754,7499,202499
524909770748,7499,202499
524909770744,7499,202499
524909770741,7499,202499
524900160748,4399,118799
524900160744,4399,118799
524900160640,4199,113399
524900120756,4399,118799
524801640744,5599,151199
524801640741,5599,151199
524801640654,5399,145799
524801640648,5399,145799
524504099955,1399,37799
524504099951,1399,37799
524504099947,1399,37799
524504099945,1399,37799
524504029947,1299,35099
524504029945,1299,35099
505-03058,2599,70199
505-03056,2599,70199
505-02447,2099,56699
505-01860,1599,43199
505-01847,1599,43199
505-01256,1399,37799
505-01247,1399,37799
525907810944,7699,207899
525907810941,7699,207899
525907810754,7499,202499
525907810748,7499,202499
525907810744,7499,202499
525907810741,7499,202499
525907740954,7699,207899
525907740948,7699,207899
525907740944,7699,207899
525907740941,7699,207899
525907740754,7499,202499
525907740748,7499,202499
525907740744,7499,202499
525907740741,7499,202499
525907730954,7699,207899
525907730948,7699,207899
525907730944,7699,207899
525907730941,7699,207899
525907730754,7499,202499
525907730748,7499,202499
525907730744,7499,202499
525907730741,7499,202499
525907690954,7699,207899
525907690948,7699,207899
525907690944,7699,207899
525907690941,7699,207899
525907690754,7499,202499
525907690748,7499,202499
525907690744,7499,202499
525907690741,7499,202499
525907650954,6699,180899
525907650948,6699,180899
525907650944,6699,180899
525907650941,6699,180899
525907650754,6499,175499
525907650748,6499,175499
525907650744,6499,175499
525907650741,6499,175499
525907610954,6699,180899
525907610948,6699,180899
525907610944,6699,180899
525907610941,6699,180899
525907610754,6499,175499
525907610748,6499,175499
525907610744,6499,175499
525907610741,6499,175499
525906970551,3899,105299
525906970547,3899,105299
525906970545,3899,105299
525906930555,3899,105299
525906930551,3899,105299
525906930547,3899,105299
525906890551,3599,97199
525906890547,3599,97199
525906890545,3599,97199
525906850555,3599,97199
525906850551,3599,97199
525906850547,3599,97199
525906810551,3399,91799
525906810547,3399,91799
525906810545,3399,91799
525906770555,3399,91799
525906770551,3399,91799
525906770547,3399,91799
525801690851,4399,118799
525801690847,4399,118799
525801690843,4399,118799
525801680857,4399,118799
525801680851,4399,118799
525801680847,4399,118799
525801680843,4399,118799
525801630847,4099,110699
525801630843,4099,110699
525801630647,3899,105299
525801630643,3899,105299
525801620847,4099,110699
525801620843,4099,110699
525801620647,3899,105299
525801620643,3899,105299
525801610847,4099,110699
525801610843,4099,110699
525801610647,3899,105299
525801610643,3899,105299
525801600847,4099,110699
525801600843,4099,110699
525801600647,3899,105299
525801600643,3899,105299
525801590847,4099,110699
525801590843,4099,110699
525801590647,3899,105299
525801590643,3899,105299
525801580847,4099,110699
525801580843,4099,110699
525801580647,3899,105299
525801580643,3899,105299
525801570847,4099,110699
525801090847,5199,140399
525801090843,5199,140399
525801090840,5199,140399
525801060851,4599,124199
525801060847,4599,124199
525801060843,4599,124199
525801060651,4399,118799
525801060647,4399,118799
525801060643,4399,118799
525801050851,4599,124199
525801050847,4599,124199
525801050843,4599,124199
525801050651,4399,118799
525801050647,4399,118799
525801050643,4399,118799
525801040851,4599,124199
525801040847,4599,124199
525801040843,4599,124199
525801040651,4399,118799
525801040647,4399,118799
525801040643,4399,118799
525801030847,4599,124199
525801030843,4599,124199
525801030647,4399,118799
525801030643,4399,118799
525801020847,4599,124199
525801020843,4599,124199
525801020647,4399,118799
525801020643,4399,118799
525801000851,4099,110699
525801000847,4099,110699
525801000843,4099,110699
525504999945,1899,51299
525504989955,1899,51299
525504989951,1899,51299
525504989947,1899,51299
525504989945,1899,51299
525504939955,1799,48599
525504939951,1799,48599
525504939947,1799,48599
525504939945,1799,48599
525504929955,1799,48599
525504929951,1799,48599
525504929947,1799,48599
525504929945,1799,48599
525504909951,1599,43199
525504909947,1599,43199
525504909945,1599,43199
525504899951,1599,43199
525504899947,1599,43199
525504899945,1599,43199
525504879955,1599,43199
525504879951,1599,43199
525504879947,1599,43199
525504879945,1599,43199
525504869955,1599,43199
525504869951,1599,43199
525504869947,1599,43199
525504869945,1599,43199
525504819955,1399,37799
525504819951,1399,37799
525504819947,1399,37799
525504819945,1399,37799
525504809955,1399,37799
525502209925,599.954,16199
525502199925,599.954,16199
525502179925,599.95,16199
525502169925,599.95,16199
525502109925,499.95,13499
525502069925,499.95,13499
525502059925,499.95,13499
525502049925,499.95,13499
525501279937,729.95,19799
525501269937,729.95,19799
525501219931,699.95,18899
525501209931,699.95,18899
525501159925,649.95,17599
525501149925,649.95,17599
525500969932,1399,37799
525500909931,1199,32399
525202969944,799.95,21599
525202969940,799.95,21599
525202969937,799.95,21599
525202959949,799.95,21599
525202959944,799.95,21599
525202959940,799.95,21599
525202959937,799.95,21599
525202919949,699.95,18899
525202919944,699.95,18899
525202919940,699.95,18899
525202919937,699.95,18899
525202909949,699.95,18899
525202909944,699.95,18899
525202909940,699.95,18899
525202909937,699.95,18899
525202869949,699.95,18899
525201909949,699.95,18899
525201909944,699.95,18899
525201909940,699.95,18899
525201869949,699.95,18899
525201869944,699.95,18899
525201869940,699.95,18899
525201869937,699.95,18899
525201859949,699.95,18899
525201859944,699.95,18899
525201859940,699.95,18899
525201859937,699.95,18899
525201769949,599.95,16199
525201769944,599.95,16199
525201769940,599.95,16199
525201769937,599.95,16199
525201759949,599.95,16199
525201169940,899.95,24299
525201159960,899.95,24299
525201159953,899.95,24299
525201159949,899.95,24299
525201159944,899.95,24299
525201159940,899.95,24299
525201129960,799.95,21599
525201129953,799.95,21599
525200659944,799.95,21599
525200659940,799.95,21599
525200659937,799.95,21599
525200629949,699.95,18899
525200629944,699.95,18899
525200629940,699.95,18899
525200629937,699.95,18899
525200619949,699.95,18899
524909930954,8499,229499
524909930948,8499,229499
524909930944,8499,229499
524909930941,8499,229499
524909930754,8299,224099
524909930748,8299,224099
524909930744,8299,224099
524909930741,8299,224099
524900120751,4399,118799
524900120748,4399,118799
524900120744,4399,118799
524900120640,4199,113399
524801640644,5399,145799
524801640641,5399,145799
524504289955,1399,37799
524504289951,1399,37799
524504089955,1399,37799
524504089951,1399,37799
524504089947,1399,37799
524504089945,1399,37799
505-03160,2599,70199
505-03158,2599,70199
505-03047,2599,70199
505-02460,2099,56699
505-01858,1599,43199
505-01856,1599,43199
505-01851,1599,43199
505-01258,1399,37799
505-01251,1399,37799
849-31048,5599,151199
849-31044,5599,151199
849-31041,5599,151199
849-31039,5599,151199
849-25855,5799,156599
849-25850,5799,156599
849-25845,5799,156599
849-25455,5799,156599
849-25450,5799,156599
849-25445,5799,156599
849-25060,5799,156599
849-25055,5799,156599
849-25050,5799,156599
849-25045,5799,156599
849-24355,5099,137699
849-24350,5099,137699
849-24345,5099,137699
849-24255,5099,137699
849-24250,5099,137699
849-24245,5099,137699
849-23555,4799,129599
849-23550,4799,129599
849-23545,4799,129599
849-23455,4799,129599
849-23450,4799,129599
849-23445,4799,129599
849-22760,4799,129599
849-22755,4799,129599
849-22750,4799,129599
849-22745,4799,129599
849-22660,4799,129599
849-22655,4799,129599
849-22650,4799,129599
849-22645,4799,129599
849-22255,4399,118799
849-22250,4399,118799
849-22245,4399,118799
849-20655,5099,137699
849-20650,5099,137699
849-20645,5099,137699
849-18454,5299,143099
849-18448,5299,143099
849-18444,5299,143099
849-18354,5299,143099
849-18348,5299,143099
849-18344,5299,143099
849-18254,5299,143099
849-18248,5299,143099
849-18244,5299,143099
837-67260,4299,116099
837-67254,4299,116099
525802500847,5899,159299
525802500843,5899,159299
525802500840,5899,159299
525802480851,5899,159299
525802480847,5899,159299
525802480843,5899,159299
525802480840,5899,159299
525802450851,5399,145799
525802450847,5399,145799
525802450843,5399,145799
525802450840,5399,145799
525802440851,5399,145799
525802440847,5399,145799
525802440843,5399,145799
525802440840,5399,145799
525802410851,5399,145799
525802410847,5399,145799
525802410843,5399,145799
525802410840,5399,145799
525802400851,5399,145799
525802400847,5399,145799
525802400843,5399,145799
525802400840,5399,145799
525802160851,4899,132299
525802160847,4899,132299
525802160843,4899,132299
525802160840,4899,132299
525802160651,4599,124199
525802160647,4599,124199
525802160643,4599,124199
525802160640,4599,124199
525802120851,4899,132299
525802120847,4899,132299
525802120843,4899,132299
525802120840,4899,132299
525802120651,4599,124199
525802120647,4599,124199
525802120643,4599,124199
525802120640,4599,124199
525802080857,4899,132299
525802080851,4899,132299
525802080847,4899,132299
525802080843,4899,132299
525802080840,4899,132299
525802080657,4599,124199
525802080651,4599,124199
525802080647,4599,124199
525802080643,4599,124199
525802080640,4599,124199
525802050851,4599,124199
525802050847,4599,124199
525802050843,4599,124199
525802050840,4599,124199
525802050651,4399,118799
525802050647,4399,118799
525802050643,4399,118799
525802050640,4399,118799
525802040851,4599,124199
525802040847,4599,124199
525802040843,4599,124199
525802040840,4599,124199
525802040651,4399,118799
