LfSn;NrLf;EAN;Produkt;Marke;Modell;Spezifikation;Hersteller;Farbe;Modelljahr;Wgr;EK_PL;UVP_PL;UAVP_PL;image;image-transparent;image-detail-1;image-detail-2;image-detail-3;Dimension (ABME);Fastening (BEFE);Brake light function (BREL);Gross weight (BRUT);Diameter (mm) (DURC);Colours for shop filters (FAF2);Manufacturer color (FARB);Colours for shop filters (FARF);High Beam (FEBE);Hazardous goods (GEFG);Weight ** (GEW);Size (parts) (GRTE);Colours (for webshops) (GRUF);Hersteller (HERS);Colours (for webshops) (HLF1); Integrated large-area Z reflector (IGBE);Capacity indicator (KIBE);Length (LANG);Light source (LEUM);Scope of delivery (LIEF);Material (MATE);Stem material (MAVB);MonkeyLink Ready (MKBE);Net weight (NETT);close-range illumination (NFBE);NOS (NOS);Tilt angle (NWVB);Product type (PRAR);Categorie (PRGR);Stem length (mm) (RGVL);Sensor automation (SABE);ON/OFF switch (SALT);Shaft diameter (mm) (SDMR); parking light (STAN);StVZO approval (STBE);Power supply (STRO);Daytime running light (TAGF);Overvoltage protection (UBEZ)
"ZEG";"820-50020";"";"Lanyard";"MonkeyLink";"";"Lanyard 90x200mm";"";"Grau/schwarz";"2019";"1931";"0.9900";"0.0000";"0.0000";"";"";"";"";"";"90 x 200mm";"";"";"";"";"";"grau/schwarz";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Randsortiment";"";"";"";"";"";"";"";"";""
"ZEG";"080-40388";"4032782082130";"Smartphone-Halter";"MonkeyLink";"MonkeyLink 2.0 Adapter Kiox 400";"";"";"schwarz";"2025";"1374";"6.8000";"14.9900";"0.0000";"";"";"";"";"";"";"";"";"";"";"";"schwarz";"black";"";"";"";"";"black";"";"";"";"";"";"";"1x Monkeylink 2.0 Adapter für Kiox 400 Display";"";"";"";"";"";"no";"";"";"Display holder";"";"";"";"";"";"";"";"";""
"ZEG";"080-40387";"4032782082017";"Smartphone-Halter";"MonkeyLink";"MonkeyLink 2.0 Connect / Garmin / Sigma Mount";"";"";"schwarz";"2025";"1374";"6.8000";"14.9900";"0.0000";"https://assets.zeg.de/1974682/hub_main/ZEG_080-40387.jpg";"https://assets.zeg.de/1974682/hub_transparent/ZEG_080-40387.png";"";"";"";"";"";"";"";"";"";"schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"";"Smartphone accessories";"";"";"";"";"";"";"";"";""
"ZEG";"080-40386";"4028017516532";"Smartphone-Halter";"MonkeyLink";"MonkeyLink 2.0 Adapter Intuvia 100";"";"";"schwarz";"2025";"1374";"6.8000";"14.9900";"0.0000";"https://assets.zeg.de/2027869/hub_main/ZEG_080-40386_main.jpg";"https://assets.zeg.de/2027869/hub_transparent/ZEG_080-40386_main.png";"https://assets.zeg.de/2027872/hub_main/ZEG_080-40386_detail_1.jpg";"";"";"";"";"";"";"";"";"schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"";"";"";"";"";"no";"";"";"Electronics accessories";"";"";"";"";"";"";"";"";""
"ZEG";"070-50585";"4002556131937";"E-Bike Scheinwerfer";"MonkeyLink";"eLIGHT 70 Connect / MonkeyLink 2.0";"";"";"Schwarz";"2024";"12821";"26.5300";"49.9900";"0.0000";"https://assets.zeg.de/1838182/hub_main/ZEG_070-50585.jpg";"https://assets.zeg.de/1838182/hub_transparent/ZEG_070-50585.png";"https://assets.zeg.de/1838202/hub_main/ZEG_070-50585_detail_1.jpg";"https://assets.zeg.de/1838199/hub_main/ZEG_070-50585_detail_2.jpg";"https://assets.zeg.de/1838196/hub_main/ZEG_070-50585_detail_3.jpg";"";"MonkeyLink adapter plate";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"LED";"";"";"";"yes";"";"";"no";"";"lighting";"E-Bike headlights";"";"";"";"";"";"yes";"";"";""
"ZEG";"070-50571";"4002556033507";"Spare part";"MonkeyLink";"ML-SkyeLight Rear Connect";"";"";"Schwarz";"2023";"12821";"22.1900";"39.9500";"0.0000";"https://assets.zeg.de/1358983/hub_main/ZEG_070-50571.jpg";"https://assets.zeg.de/1358983/hub_transparent/ZEG_070-50571.png";"";"";"";"";"MonkeyLink adapter plate";"no";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"yes";"no";"";"LED";"";"Plastic";"";"";"";"";"no";"";"lighting";"E-Bike rear light";"";"no";"";"";"no";"yes";"E-bike battery";"";"yes"
"ZEG";"070-50570";"4002556033491";"Spare part";"MonkeyLink";"ML-SkyeLight Rear Connect BL";"";"";"Schwarz";"2023";"12821";"27.7500";"49.9500";"0.0000";"https://assets.zeg.de/1358989/hub_main/ZEG_070-50570.jpg";"https://assets.zeg.de/1358989/hub_transparent/ZEG_070-50570.png";"";"";"";"";"MonkeyLink adapter plate";"yes";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"yes";"no";"";"LED";"";"Plastic";"";"";"";"";"no";"";"lighting";"E-Bike rear light";"";"no";"";"";"no";"yes";"E-bike battery";"";"yes"
"ZEG";"070-50569";"4002556033484";"Headlights";"MonkeyLink";"ML-SkyeLight 110 Lux Connect";"";"Comus";"Schwarz";"2023";"12821";"83.3000";"149.9500";"0.0000";"https://assets.zeg.de/1358992/hub_main/ZEG_070-50569.jpg";"https://assets.zeg.de/1358992/hub_transparent/ZEG_070-50569.png";"";"";"";"";"MonkeyLink adapter plate";"";"";"";"";"Schwarz";"black";"yes";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"LED";"";"Aluminium";"";"";"";"";"no";"";"lighting";"E-Bike headlights";"";"";"";"";"";"yes";"E-bike battery";"yes";""
"ZEG";"070-50568";"4002556033477";"Headlights";"MonkeyLink";"ML-SkyeLight 80 Lux Connect";"";"Comus";"Schwarz";"2023";"12821";"49.9700";"89.9500";"0.0000";"https://assets.zeg.de/1359001/hub_main/ZEG_070-50568.jpg";"https://assets.zeg.de/1359001/hub_transparent/ZEG_070-50568.png";"";"";"";"";"MonkeyLink adapter plate";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Aluminium";"";"";"145 g";"";"no";"";"lighting";"E-Bike headlights";"";"";"";"";"";"yes";"E-bike battery";"yes";""
"ZEG";"070-50567";"4002556033460";"Headlights";"MonkeyLink";"ML-SkyeLight 60 Lux Connect";"";"Comus";"Schwarz";"2023";"12821";"38.8600";"69.9500";"0.0000";"https://assets.zeg.de/1359010/hub_main/ZEG_070-50567.jpg";"https://assets.zeg.de/1359010/hub_transparent/ZEG_070-50567.png";"";"";"";"";"MonkeyLink magnetic holder";"";"";"";"";"Schwarz";"black";"";"";"";"";"black";"ZEG Zweirad-Einkaufs-Genossenschaft eG";"";"";"";"";"";"";"Aluminium";"";"";"";"";"no";"";"lighting";"E-Bike headlights";"";"";"";"";"no";"yes";"E-bike battery";"";""
